CLIENT INDUSTRY,CLIENT OTHER INDUSTRY,CLIENT NAME
EDUCATION,,Douglas J Schools%2f Institutes
EDUCATION,,Douglas J Schools/Institutes on behalf of Clark Street school system d/b/a Aveda Institute of Chicago
EDUCATION,,"EdisonLearning, Inc."
EDUCATION,,"Education Capital Solutions, LLC"
EDUCATION,,Foundations College Preparatory School
EDUCATION,,Francis W Parker School
EDUCATION,,Francis W. Parker School 
EDUCATION,,"Gateway  Montessori School, Inc."
EDUCATION,,GEMS Americas
EDUCATION,,Genesys (fka Alcatel-Lucent
EDUCATION,,Golden Apple Foundation
EDUCATION,,"Great Education Partners, LLC"
EDUCATION,,"Green Era Educational, NFP"
EDUCATION,,Intercultural Montessori Language School
EDUCATION,,Intrinsic Schools
EDUCATION,,Jason Learning
EDUCATION,,J.B. Hunt
EDUCATION,,John G Shedd Aquarium
EDUCATION,,John G. Shedd Aquarium
EDUCATION,,Lake Park Associates Inc.
EDUCATION,,"Lake Park Associates, Inc."
EDUCATION,,Learn Charter School Network
EDUCATION,,Legacy Charter School
EDUCATION,,"Lighthouse Academies, Inc."
EDUCATION,,"Lincoln Park Preschool, Inc."
EDUCATION,,Loyola University
EDUCATION,,Loyola University Chicago
EDUCATION,,Loyola University of Chicago
EDUCATION,,"McGraw Hill Global Education Holding, LLC and Its Affiliates"
EDUCATION,,Moody Bible Institute
EDUCATION,,Museums in the Park
EDUCATION,,National-Louis University
EDUCATION,,Near North Montessori School
EDUCATION,,Noble Network of Charter Schools
EDUCATION,,Noble Network of Schools
EDUCATION,,"Northeastern Illinois University, Board of Trustees"
EDUCATION,,North Park University
EDUCATION,,Northwestern University
EDUCATION,,Northwestern University Settlement Association
EDUCATION,,Pathways in Education
EDUCATION,,Pathways Management Group
EDUCATION,,"Prologue, inc"
EDUCATION,,Prologue Inc
EDUCATION,,Roosevelt University
EDUCATION,,"Rosetta Stone, Inc"
EDUCATION,,Sacred Heart Schools
EDUCATION,,Shedd Aquarium
EDUCATION,,Smart Love Parenting Center D/B/A Smart
EDUCATION,,Sonia Shankman School Corp.
EDUCATION,,Sonia Shankman School Corporation
EDUCATION,,Steans Family Foundation
EDUCATION,,"Teachscape, Inc"
EDUCATION,,The Gardner School 
EDUCATION,,"Think Through Learning, Inc."
EDUCATION,,University of Chicago
EDUCATION,,"XS Tennis, Inc"
EDUCATION,,XS Tennis Village LLC
EDUCATION,,Youth Connection Charter School
ENGINEERING,,"AECOM USA, Inc."
ENGINEERING,,"AES Services, Inc"
ENGINEERING,,Ameresco
ENGINEERING,,Ameresco Inc
ENGINEERING,,"Anchor Mechanical, Inc"
ENGINEERING,,"Ansaldo STS USA, Inc"
ENGINEERING,,Bowman Consulting
ENGINEERING,,"Burns & McDonnell Engineering Co, Inc"
ENGINEERING,,"Burns & McDonnell Engineering Company, Inc."
ENGINEERING,,CH2M Hill
ENGINEERING,,"CH2M Hill, Inc"
ENGINEERING,,Chicago Department of Aviation
ENGINEERING,,"David Mason & Associates of Illinois, Ltd."
ENGINEERING,,"Delta Engineering, Inc."
ENGINEERING,,DLZ
ENGINEERING,,Dynasty Group
ENGINEERING,,ENVIRONMENTAL DESIGN INTERNATIONAL
ENGINEERING,,ESI
ENGINEERING,,ESI Consultants Ltd.
ENGINEERING,,"EXP US Services, Inc."
ENGINEERING,,Ghafari Associates LLC
ENGINEERING,,"Ghafari Associates, LLC"
ENGINEERING,,Globetrotters Engineering Corp.
ENGINEERING,,"Harry O. Hefter - Associates, Inc"
ENGINEERING,,HNTB Corp.
ENGINEERING,,HR Green
ENGINEERING,,"HR Green, Inc."
ENGINEERING,,"HR Green, Inc. "
ENGINEERING,,"H.W. Lochner, Inc."
ENGINEERING,,Infrastructure Engineering Inc.
ENGINEERING,,"Infrastructure Engineering,  Inc."
ENGINEERING,,"Infrastructure Engineering, Inc. "
ENGINEERING,,Integrated System International d%2fb%2fa ISI Energy Controls
ENGINEERING,,"Interstate JCDecaux, LLC"
ENGINEERING,,Jacobs Engineering (FKA Edward & Kelcey)
ENGINEERING,,"JCDecaux Chicago, LLC"
ENGINEERING,,"JCDecaux North America, Inc"
ENGINEERING,,"Johnson Controls, Inc"
ENGINEERING,,"Johnson Controls, Inc."
ENGINEERING,,Knight Engineering
ENGINEERING,,"Knight Engineers and Architects, Inc."
ENGINEERING,,"K-Plus Engineering, LLC. "
ENGINEERING,,Landrum & Brown
ENGINEERING,,"Louis Berger Group, Inc."
ENGINEERING,,MWH
ENGINEERING,,Novak Construction
ENGINEERING,,Nudell Architects
ENGINEERING,,"Parsons Transportation Group, Inc"
ENGINEERING,,Patrick Engineering
ENGINEERING,,Philips Lighting
ENGINEERING,,Polara
ENGINEERING,,Primera Engineering
ENGINEERING,,Regal Beloit Corporation
ENGINEERING,,"Reynolds, Smith and Hills, Inc."
ENGINEERING,,Ross & Baruzzini Inc
ENGINEERING,,Sacred Heart Schools
ENGINEERING,,Safe Harbor Energy Resources
ENGINEERING,,Siemens
ENGINEERING,,Siemens Corporation
ENGINEERING,,Siemens Industry Inc.
ENGINEERING,,Solargenix Energy LLC
ENGINEERING,,Solomon Cordwell Buenz
ENGINEERING,,Stantec Architecture Inc.
ENGINEERING,,"STV, Incorporated"
ENGINEERING,,"The Chicago Consultants Studio, Inc"
ENGINEERING,,The Conecta Group
ENGINEERING,,The Leonis Group
ENGINEERING,,Thermal Chicago Corp.
ENGINEERING,,T & N CHicago
ENGINEERING,,URS
ENGINEERING,,URS Corp.
ENGINEERING,,Vortex Infrastructure Products
ENGINEERING,,Weston Solutions
ENGINEERING,,W.J. O'Neil Chicago
ENVIRONMENT,,Ameresco Inc
ENVIRONMENT,,American Progressive Bag Alliance
ENVIRONMENT,,ArborJet
ENVIRONMENT,,Cash America International
ENVIRONMENT,,Chicago Park District
ENVIRONMENT,,"Clean Line Energy Partners, LLC"
ENVIRONMENT,,"Dihydro Services, Inc."
ENVIRONMENT,,Flood Brothers Disposal
ENVIRONMENT,,Lakeshore Recycling Systems
ENVIRONMENT,,Land and Lakes Company
ENVIRONMENT,,LaSalle Street Partners
ENVIRONMENT,,Learn Green LLC
ENVIRONMENT,,Midwest Generation
ENVIRONMENT,,"Midwest Generation EME,LLC"
ENVIRONMENT,,"Midwest Generation EME, LLC"
ENVIRONMENT,,"M&J Asphalt Paving Company, Incorporated"
ENVIRONMENT,,"NRG Energy, Inc."
ENVIRONMENT,,"Pure Metal Recycling, LLC"
ENVIRONMENT,,Republic Services Inc
ENVIRONMENT,,"Republic Services, Inc & Allied Waste Transportation, Inc"
ENVIRONMENT,,Respiratory Health Association Metropolitan Chicago
ENVIRONMENT,,SET Environmental
ENVIRONMENT,,"Solar Micronics, Inc. "
ENVIRONMENT,,"Utility Service Partners, Inc."
ENVIRONMENT,,Wisconsin Energy Corporation 
FINANCIAL / BANKING,,3i Debt Management US LLC
FINANCIAL / BANKING,,"Acacia Financial Group, Inc."
FINANCIAL / BANKING,,Akouba
FINANCIAL / BANKING,,"American Express Travel Related Services Company, Inc"
FINANCIAL / BANKING,,"American International Group, INC (AIG)"
FINANCIAL / BANKING,,"AmeriCash Loans, LLC"
FINANCIAL / BANKING,,AMP Capital Investors (US) Limited
FINANCIAL / BANKING,,"Baker Tilly Virchow Karuse, LLP"
