committee_name,id,committee_id,filed_doc_id,etrans_id,last_name,first_name,expended_date,amount,aggregate_amount,address1,address2,city,state,zipcode,d2_part,purpose,candidate_name,office,supporting,opposing,archived,country,redaction_requested,search_name,search_date
Democratic Party of the 29th Ward,2747351,23266,548145,0,Reyes Kurson Law Firm,,2013-10-16 00:00:00,980.0,980.0,"600 W.Van Buren,  9th Floor",,Chicago,IL,60607     ,8B,Meeting re Pawn Shop,,,False,False,False,,False,'firm':4 'kurson':2 'law':3 'rey':1,2013-10-16 00:00:00
Cook County Democratic Party,3068550,163,618540,0,Reyes Kurson,,2016-05-02 00:00:00,1000.0,1000.0,600 West Van Buren,Suite 909,Chicago,IL,60607     ,8B,Refund of contribution,,,False,False,False,,False,'kurson':2 'rey':1,2016-05-02 00:00:00
Illinois Transportation Trade Association Political Action Committee,3072455,25914,619076,0,Reyes Kurson,,2016-05-24 00:00:00,3000.0,3000.0,"600 W. Van Buren St., Suite 909",,Chicago,IL,60607     ,8B,Advertising.,,,False,False,False,,False,'kurson':2 'rey':1,2016-05-24 00:00:00
Friends for Foxx,3118405,31640,632359,0,Reyes Kurson,,2016-02-18 00:00:00,2750.0,2750.0,600 W Van Buren St,Ste 909,Chicago,IL,60607-3703,8B,Return portion of contribution,,,False,False,False,,False,'kurson':2 'rey':1,2016-02-18 00:00:00
